code_circ,situation_code,share_far_right,share_strongest
1,1,0.3991997483925077,0.2449853228962818
2,1,0.420660621761658,0.28770869314910763
3,1,0.3860575296108291,0.2883756345177665
4,2,0.27308701355487536,0.4217315260166157
5,0,0.1327820252769543,0.36157486867426014
6,2,0.21407145264577013,0.3422817660936973
7,0,NA,0.3384479197403364
8,0,0.46194979173702577,0.1764043678937296
9,0,0.43376910642883476,0.11737515242605565
10,0,0.4209788558865625,0.19811724433033803
11,1,0.32123728525784495,0.42520876101687066
12,0,0.33433178105913464,0.17043034657056608
13,1,0.3601461655277145,0.3448652239939256
14,1,0.3926445902640012,0.25942316496261253
15,1,0.445299808004726,0.2672980357406587
16,4,0.28223687174327633,0.33587614313816766
17,1,0.43929136349256565,0.36809553938627015
18,0,0.25423919906196446,0.06016054839000631
19,0,0.18989146115271002,0.4615648828742186
20,1,0.37022342869074965,0.3777684972506438
21,1,0.341193418758056,0.38570020471605126
22,0,0.44161184210526316,0.23506310418904403
23,0,0.42407624438891717,0.36350971850606995
24,4,0.2539335598904142,0.3204036109406111
25,3,0.45261671430515854,0.24385803729413366
26,0,0.42154124046963937,0.22034823885236604
27,0,0.21305403308556697,0.47721300397927774
28,1,0.4056259849001576,0.2968459674953548
29,3,0.31106838321350944,0.4868333054673132
30,0,0.44343569040790604,0.2996364832033319
31,2,0.18096582121868235,0.42617151252706464
32,3,0.34650970510650025,0.3060356706956967
33,1,0.34036004235792444,0.2799152841510766
34,1,0.22739691373640272,0.42835820895522386
35,3,0.3003205668972499,0.3213743401865555
36,4,0.2040107919586747,0.3852202809857533
37,0,0.4083470828487193,0.1808985421005653
38,2,0.18341836734693878,0.40189732142857143
39,0,0.2233634719710669,0.4607353827606992
40,1,0.4037469089345232,0.3316982044941404
41,0,0.2583986562150056,0.42342148333189766
42,0,0.3837316573932597,0.2626632455963329
43,2,0.21888450342007038,0.4731127105173861
44,0,0.17235035250136144,0.38317413125708316
45,0,0.4596884562746998,0.18226691885408497
46,3,0.3311379436516648,0.32355653128430295
47,3,0.32599769319492505,0.3004728950403691
48,0,0.32757015560579866,0.24745311876579332
49,3,0.35247187635611044,0.26746670227325836
50,1,0.45237447983103657,0.25478346333200896
51,1,0.34411109118393074,0.2693628141733494
52,3,0.46547726758651886,0.30914951368468674
53,1,0.41639248610188173,0.34269599183131005
54,2,0.258569545154911,0.3092452208305867
55,1,0.3642610531961251,0.29267924781282473
56,2,0.2796995611927869,0.36294481278626567
57,0,0.4080175961402015,0.2653611465872002
58,3,0.41038529530787415,0.32110072202934975
59,1,0.40122085708516486,0.32713067519920475
60,0,0.13889212439888846,0.40629315939231575
61,3,0.35456171032206085,0.32449745534573893
62,2,0.2131119063335997,0.4533578848625925
63,4,0.27378889735948436,0.33857162658534895
64,1,0.28208848609312914,0.48783427831599624
65,1,0.4125827426629957,0.330045105734872
66,0,0.22875176689572166,0.18462485829846192
67,4,0.3054140369553646,0.33704661242491063
68,1,0.4390631062824086,0.29537197079262056
69,1,0.4346158038147139,0.2848610354223433
70,0,0.3432855958828858,0.2405890403037721
71,0,0.1570885751973697,0.3991494891028291
72,0,0.15248616725972017,0.49132775676733054
73,2,0.22582637667053496,0.35282446748774005
74,0,0.271315382430001,0.43094794658922314
75,1,0.4816060225846926,0.26079464659138435
76,3,0.2653439748201439,0.30304350269784175
77,0,0.4232881962187021,0.20473513881791858
78,0,0.31547287136074076,0.3763201027356753
79,2,0.2529288646062682,0.2942455625322787
80,3,0.36805837637091626,0.26930888411768117
81,1,0.31469888463290757,0.38487757960278757
82,0,0.3813059924347999,0.28403344614772047
83,3,0.36259450016565764,0.2893436944670341
84,0,0.11793318649045521,0.5789739353891337
85,0,0.10171940471030198,0.4369852622453403
86,1,0.3572199897325143,0.3285064348811273
87,0,0.0932768609123217,0.012852344092303198
88,0,0.32852755285935475,0.3416376881488438
89,0,NA,0.2548564801391708
90,0,0.18355906136825917,0.33030708934861336
91,4,0.20997142972113797,0.38313682883317907
92,3,0.35714972408621587,0.3090234382510719
93,0,0.35486497746468204,0.45799719728818694
94,2,0.18997671582215322,0.4443951657611709
95,1,0.3011735807860262,0.37601372426699936
96,0,0.06292715965765655,0.2418262422264639
97,2,0.2745752839530143,0.295447043976313
98,1,0.3049594160472941,0.42171193947573515
99,0,0.39123263215089654,0.2433827524644881
100,0,0.13928182807399347,0.4607096375002667
101,3,0.28820727418421405,0.3528172253631898
102,1,0.4989093793376958,0.19642739110317933
103,0,0.3301855441705899,0.13622265300470784
104,1,0.30968934260318576,0.4491771539206196
105,4,0.24422639914034563,0.3321471981961351
106,1,0.3549625854612665,0.29646311482764187
107,0,0.35318634601758847,0.2826866169299379
108,1,0.49172855159089535,0.1854434583106925
109,0,0.3089497716894977,0.37625570776255707
110,3,0.48848890749267476,0.1977624719357662
